variable,label,type,values_or_range,notes
id,Participant ID,character,SYN_001 - SYN_299,Synthetic ID; original IDs not shared
hc.ptsd.mtbi.groups.4groups,Diagnostic group (4-level),categorical,"Controls, PTSD, mTBI, PTSD+mTBI",Derived from ptsd.diagnosis and tbi.diagnosis
tbi.diagnosis,Mild TBI diagnosis,categorical,"0 = No mTBI, 1 = mTBI",
ptsd.diagnosis,PTSD diagnosis,categorical,"No PTSD, PTSD",
ctq_diagnosis_total,CTQ total: clinically significant exposure,categorical,"0 = below threshold, 2 = moderate or above",Cutoff >= 41
pcl_total,PTSD symptom severity (PCL-C),numeric,17 - 85,17-item; higher = more severe
rpq13_total,Post-concussive symptom severity (RPQ-13),numeric,0 - 52,13-item; higher = more severe; NA if no mTBI
ctq_totalscore,Childhood maltreatment severity (CTQ total),numeric,25 - 125,28-item; 5 subscales summed
ctq_emo_score,CTQ emotional abuse subscale,numeric,5 - 25,
ctq_phys_score,CTQ physical abuse subscale,numeric,5 - 25,
ctq_sex_score,CTQ sexual abuse subscale,numeric,5 - 25,
ctq_emoneg_score,CTQ emotional neglect subscale,numeric,5 - 25,
ctq_physneg_score,CTQ physical neglect subscale,numeric,5 - 25,
ctq_diagnosis_emo_score,CTQ emotional abuse: clinically significant,categorical,"0 = below threshold, 1 = moderate or above",Cutoff >= 15
ctq_diagnosis_phys_score,CTQ physical abuse: clinically significant,categorical,"0 = below threshold, 1 = moderate or above",Cutoff >= 10
ctq_diagnosis_sex_score,CTQ sexual abuse: clinically significant,categorical,"0 = below threshold, 1 = moderate or above",Cutoff >= 8
ctq_diagnosis_emoneg_score,CTQ emotional neglect: clinically significant,categorical,"0 = below threshold, 1 = moderate or above",Cutoff >= 13
ctq_diagnosis_physneg_score,CTQ physical neglect: clinically significant,categorical,"0 = below threshold, 1 = moderate or above",Cutoff >= 10
age,Age,numeric,18 - 65,
gender,Gender,categorical,"1 = Male, 2 = Female",
race,Race,categorical,"1 = Native American, 2 = Asian, 3 = Pacific Islander, 4 = African American, 5 = White, 6 = Unknown/Other",Self-reported
audit_10_score,Alcohol use (AUDIT-10),numeric,0 - 40,
phq9_score,Depression severity (PHQ-9),numeric,0 - 27,
t_af_left.fa1.mean,FA - Arcuate Fasciculus (left),numeric,0 - 1,
t_af_right.fa1.mean,FA - Arcuate Fasciculus (right),numeric,0 - 1,
t_cb_left.fa1.mean,FA - Cingulum Bundle (left),numeric,0 - 1,
t_cb_right.fa1.mean,FA - Cingulum Bundle (right),numeric,0 - 1,
t_cc1.fa1.mean,FA - Corpus Callosum segment 1,numeric,0 - 1,
t_cc2.fa1.mean,FA - Corpus Callosum segment 2,numeric,0 - 1,
t_cc3.fa1.mean,FA - Corpus Callosum segment 3,numeric,0 - 1,
t_cc4.fa1.mean,FA - Corpus Callosum segment 4,numeric,0 - 1,
t_cc5.fa1.mean,FA - Corpus Callosum segment 5,numeric,0 - 1,
t_cc6.fa1.mean,FA - Corpus Callosum segment 6,numeric,0 - 1,
t_cc7.fa1.mean,FA - Corpus Callosum segment 7,numeric,0 - 1,
t_ilf_left.fa1.mean,FA - Inferior Longitudinal Fasciculus (left),numeric,0 - 1,
t_ilf_right.fa1.mean,FA - Inferior Longitudinal Fasciculus (right),numeric,0 - 1,
t_ioff_left.fa1.mean,FA - Inferior Occipito-Frontal Fasciculus (left),numeric,0 - 1,
t_ioff_right.fa1.mean,FA - Inferior Occipito-Frontal Fasciculus (right),numeric,0 - 1,
t_uf_left.fa1.mean,FA - Uncinate Fasciculus (left),numeric,0 - 1,
t_uf_right.fa1.mean,FA - Uncinate Fasciculus (right),numeric,0 - 1,
t_slf.iii_left.fa1.mean,FA - Superior Longitudinal Fasciculus III (left),numeric,0 - 1,
t_slf.iii_right.fa1.mean,FA - Superior Longitudinal Fasciculus III (right),numeric,0 - 1,
t_slf.ii_left.fa1.mean,FA - Superior Longitudinal Fasciculus II (left),numeric,0 - 1,
t_slf.ii_right.fa1.mean,FA - Superior Longitudinal Fasciculus II (right),numeric,0 - 1,
t_slf.i_left.fa1.mean,FA - Superior Longitudinal Fasciculus I (left),numeric,0 - 1,
t_slf.i_right.fa1.mean,FA - Superior Longitudinal Fasciculus I (right),numeric,0 - 1,
t_af_left.tensor1.meandiffusivity.mean,MD - Arcuate Fasciculus (left),numeric,> 0,
t_af_right.tensor1.meandiffusivity.mean,MD - Arcuate Fasciculus (right),numeric,> 0,
t_cb_left.tensor1.meandiffusivity.mean,MD - Cingulum Bundle (left),numeric,> 0,
t_cb_right.tensor1.meandiffusivity.mean,MD - Cingulum Bundle (right),numeric,> 0,
t_cc1.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 1,numeric,> 0,
t_cc2.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 2,numeric,> 0,
t_cc3.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 3,numeric,> 0,
t_cc4.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 4,numeric,> 0,
t_cc5.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 5,numeric,> 0,
t_cc6.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 6,numeric,> 0,
t_cc7.tensor1.meandiffusivity.mean,MD - Corpus Callosum segment 7,numeric,> 0,
t_ilf_left.tensor1.meandiffusivity.mean,MD - Inferior Longitudinal Fasciculus (left),numeric,> 0,
t_ilf_right.tensor1.meandiffusivity.mean,MD - Inferior Longitudinal Fasciculus (right),numeric,> 0,
t_ioff_left.tensor1.meandiffusivity.mean,MD - Inferior Occipito-Frontal Fasciculus (left),numeric,> 0,
t_ioff_right.tensor1.meandiffusivity.mean,MD - Inferior Occipito-Frontal Fasciculus (right),numeric,> 0,
t_uf_left.tensor1.meandiffusivity.mean,MD - Uncinate Fasciculus (left),numeric,> 0,
t_uf_right.tensor1.meandiffusivity.mean,MD - Uncinate Fasciculus (right),numeric,> 0,
t_slf.iii_left.tensor1.meandiffusivity.mean,MD - Superior Longitudinal Fasciculus III (left),numeric,> 0,
t_slf.iii_right.tensor1.meandiffusivity.mean,MD - Superior Longitudinal Fasciculus III (right),numeric,> 0,
t_slf.ii_left.tensor1.meandiffusivity.mean,MD - Superior Longitudinal Fasciculus II (left),numeric,> 0,
t_slf.ii_right.tensor1.meandiffusivity.mean,MD - Superior Longitudinal Fasciculus II (right),numeric,> 0,
t_slf.i_left.tensor1.meandiffusivity.mean,MD - Superior Longitudinal Fasciculus I (left),numeric,> 0,
t_slf.i_right.tensor1.meandiffusivity.mean,MD - Superior Longitudinal Fasciculus I (right),numeric,> 0,
t_af_left.tensor1.maxeigenvalue.mean,AD - Arcuate Fasciculus (left),numeric,> 0,
t_af_right.tensor1.maxeigenvalue.mean,AD - Arcuate Fasciculus (right),numeric,> 0,
t_cb_left.tensor1.maxeigenvalue.mean,AD - Cingulum Bundle (left),numeric,> 0,
t_cb_right.tensor1.maxeigenvalue.mean,AD - Cingulum Bundle (right),numeric,> 0,
t_cc1.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 1,numeric,> 0,
t_cc2.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 2,numeric,> 0,
t_cc3.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 3,numeric,> 0,
t_cc4.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 4,numeric,> 0,
t_cc5.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 5,numeric,> 0,
t_cc6.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 6,numeric,> 0,
t_cc7.tensor1.maxeigenvalue.mean,AD - Corpus Callosum segment 7,numeric,> 0,
t_ilf_left.tensor1.maxeigenvalue.mean,AD - Inferior Longitudinal Fasciculus (left),numeric,> 0,
t_ilf_right.tensor1.maxeigenvalue.mean,AD - Inferior Longitudinal Fasciculus (right),numeric,> 0,
t_ioff_left.tensor1.maxeigenvalue.mean,AD - Inferior Occipito-Frontal Fasciculus (left),numeric,> 0,
t_ioff_right.tensor1.maxeigenvalue.mean,AD - Inferior Occipito-Frontal Fasciculus (right),numeric,> 0,
t_uf_left.tensor1.maxeigenvalue.mean,AD - Uncinate Fasciculus (left),numeric,> 0,
t_uf_right.tensor1.maxeigenvalue.mean,AD - Uncinate Fasciculus (right),numeric,> 0,
t_slf.iii_left.tensor1.maxeigenvalue.mean,AD - Superior Longitudinal Fasciculus III (left),numeric,> 0,
t_slf.iii_right.tensor1.maxeigenvalue.mean,AD - Superior Longitudinal Fasciculus III (right),numeric,> 0,
t_slf.ii_left.tensor1.maxeigenvalue.mean,AD - Superior Longitudinal Fasciculus II (left),numeric,> 0,
t_slf.ii_right.tensor1.maxeigenvalue.mean,AD - Superior Longitudinal Fasciculus II (right),numeric,> 0,
t_slf.i_left.tensor1.maxeigenvalue.mean,AD - Superior Longitudinal Fasciculus I (left),numeric,> 0,
t_slf.i_right.tensor1.maxeigenvalue.mean,AD - Superior Longitudinal Fasciculus I (right),numeric,> 0,
t_af_left.tensor1.mineigenvalue.mean,RD - Arcuate Fasciculus (left),numeric,> 0,
t_af_right.tensor1.mineigenvalue.mean,RD - Arcuate Fasciculus (right),numeric,> 0,
t_cb_left.tensor1.mineigenvalue.mean,RD - Cingulum Bundle (left),numeric,> 0,
t_cb_right.tensor1.mineigenvalue.mean,RD - Cingulum Bundle (right),numeric,> 0,
t_cc1.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 1,numeric,> 0,
t_cc2.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 2,numeric,> 0,
t_cc3.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 3,numeric,> 0,
t_cc4.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 4,numeric,> 0,
t_cc5.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 5,numeric,> 0,
t_cc6.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 6,numeric,> 0,
t_cc7.tensor1.mineigenvalue.mean,RD - Corpus Callosum segment 7,numeric,> 0,
